gene_symbol,log2FoldChange,pvalue
Gm10064,0.002430824,0.99999707
Mast3,0.011512896,0.99999707
Armc7,0.036607682,0.99999707
Gm21814,0.012846016,0.99999707
Nmbr,0.025314236,0.99999707
Hsd17b4,0.003795472,0.99999707
Ptger2,-0.024016143,0.99999707
Ryr2,-0.283103674,0.077924305
Hist1h3d,-0.072483565,0.99999707
F10,-0.072443674,0.99999707
Gm5648,0.022526981,0.99999707
Mrpl39,-0.016114087,0.99999707
Kif16bos,-0.062366226,0.99999707
Slc25a30,0.032805587,0.99999707
Gm37023,-0.378901155,0.00279735
Clic5,0.051305199,0.99999707
Rapgef6,0.011928036,0.99999707
Mast4,-0.016909675,0.99999707
Cyp2j6,-0.099157568,0.99999707
Kdm6b,-0.067941065,0.99999707
Ccdc184,-0.041085244,0.99999707
Gm13740,-0.451377014,0.0000395
Stam,-0.067800137,0.99999707
Gm25108,0.026716203,0.99999707
Cpsf3,-0.047713247,0.99999707
Rims3,-0.266964089,0.148913389
Hace1,0.14518365,0.841492314
Pom121l2,0.04210094,0.99999707
Atp1b2,-0.04224919,0.99999707
Gm34267,0.460060564,0.0000944
Patl1,-0.044629338,0.99999707
Nhp2l1,-0.098291745,0.878011207
Pgrmc1,-0.027658723,0.99999707
Map3k3,0.102564127,0.969200375
Cdcp1,-0.175178051,0.697621913
Osbp,-0.02928476,0.99999707
Lhpp,0.001833621,0.99999707
Gm10086,-0.00286092,0.99999707
Ros1,0.034918429,0.99999707
Srek1ip1,-0.015906801,0.99999707
Gm6450,0.016835648,0.99999707
Gm28187,0.000540888,0.99999707
Il17rb,0.021873169,0.99999707
Mief1,-0.004501968,0.99999707
Daxx,-0.045398615,0.99999707
Afap1l1,0.016611309,0.99999707
Zfp133-ps,0.023010497,0.99999707
Gm24046,0.008301322,0.99999707
Gpn2,-0.059689127,0.99999707
Gm18407,0.015244919,0.99999707
Gm12257,0.02705325,0.99999707
Chst2,0.009786097,0.99999707
Matk,0.079295304,0.99999707
Fam89b,0.055406232,0.99999707
Uqcr10,0.093649498,0.905832372
Atg14,-0.043904165,0.99999707
Gspt2,-0.319003332,0.02796581
5033417F24Rik,0.090323112,0.99999707
Zbtb6,0.066928308,0.99999707
Gm11703,-0.107639561,0.977784437
Utp14a,0.001006087,0.99999707
Nkrf,0.185823701,0.133147772
Gm16494,0.005722228,0.99999707
Eaf1,0.035969798,0.99999707
Chd8,0.021403183,0.99999707
RP24-365A12.2,-0.056300497,0.99999707
1700120B22Rik,0.157782064,0.583920039
Usp40,-0.030486783,0.99999707
Rsph1,0.029584284,0.99999707
Gm26448,-0.028155716,0.99999707
Pi4ka,0.043952644,0.99999707
2610307P16Rik,-0.02828506,0.99999707
Olfm4,-0.086992991,0.99999707
Fryl,-0.025664411,0.99999707
Ptgfrn,0.072183419,0.99999707
Slc16a12,0.146705191,0.695964497
Kyat3,0.02186275,0.99999707
Gm8213,-0.048676923,0.99999707
2410016O06Rik,-0.046523264,0.99999707
Rpl21,-0.051784468,0.99999707
Slc38a6,0.414000837,0.00000968
Scn2b,-0.068688414,0.99999707
Rps2-ps11,0.002339323,0.99999707
Agmo,-0.135776486,0.541753885
RP23-23P9.3,0.002356384,0.99999707
Pycard,0.045601559,0.99999707
Gm9001,0.098223578,0.99999707
Mbp,-0.071245246,0.99999707
Gm8935,-0.085595174,0.99999707
Gm5712,-0.128799171,0.778411773
Gm42829,0.032919523,0.99999707
Gm14048,0.005325718,0.99999707
Gm8399,-0.2143102,0.244945549
Unc50,0.183042783,0.568352854
Dmrt3,-0.091050378,0.99999707
Wfdc17,-0.02505887,0.99999707
Gm29486,-0.043735378,0.99999707
Manea,-0.031998308,0.99999707
Dpf2,0.096309422,0.971388171
Scamp5,0.009451808,0.99999707
Orai2,-0.002711854,0.99999707
Otop1,-0.052492643,0.99999707
Gm8539,-0.010824817,0.99999707
Nsmf,-0.024603825,0.99999707
3830432H09Rik,-0.01549248,0.99999707
Gm6750,-0.075224136,0.99999707
C130013H08Rik,-0.02841957,0.99999707
Kcnk6,-0.09455386,0.99999707
Gm37170,0.049196152,0.99999707
Gm6334,-0.077013522,0.99999707
Elovl1,0.008325496,0.99999707
Il18r1,0.020709677,0.99999707
Col9a3,-0.110058168,0.99999707
Cd7,0.13480975,0.653926698
Supt16,0.028692744,0.99999707
Gm13786,0.00301912,0.99999707
Igkv5-37,0.005776306,0.99999707
Mx1,-0.195918885,0.083619375
Atpif1,-0.094030919,0.753296611
Tpt1,0.064142346,0.99999707
Yipf7,-0.09894407,0.99999707
Rfc5,0.057823636,0.99999707
Sh3tc2,-0.043757632,0.99999707
Gm8302,0.254455065,0.127048795
Smtnl2,0.028052588,0.99999707
H60b,0.047300338,0.99999707
Etf1,0.013652911,0.99999707
Uba5,-0.253113191,0.036388068
Zdhhc12,0.001081217,0.99999707
Kctd11,-0.014688248,0.99999707
Foxn2,-0.002041813,0.99999707
Mapk8ip2,0.034684378,0.99999707
Xdh,0.183461075,0.10607515
Cbll1,-0.009250264,0.99999707
Nudt12,-0.08807462,0.99999707
Aen,0.011848133,0.99999707
Gnai1,0.086287454,0.99999707
Dlec1,-0.046547104,0.99999707
Angel1,0.067906674,0.99999707
Uba3,0.003056297,0.99999707
Vps26a,-0.085438624,0.99999707
Hey2,-0.055995912,0.99999707
Bola2,0.051070612,0.99999707
Gm7192,-0.001071707,0.99999707
Cyp26c1,0.180378305,0.615558873
Gm6112,-0.005196644,0.99999707
Rbbp4,0.010564796,0.99999707
Gm18665,-0.105723301,0.99999707
Rbm12b2,-0.004464191,0.99999707
Dio2,0.043795912,0.99999707
Decr2,0.166590253,0.261545071
Gm8251,-0.056427616,0.99999707
Surf6,0.026450624,0.99999707
Gm12841,-0.131478344,0.980699013
Rps8-ps3,-0.057682228,0.99999707
Gm15954,-0.011576138,0.99999707
Gm12482,0.031913523,0.99999707
Gm5857,0.051658535,0.99999707
Phf8,0.020056621,0.99999707
Oas2,-0.226356089,0.319644524
Smu1,-0.150044957,0.60790661
Gm15384,0.039652916,0.99999707
Ebna1bp2,0.065862155,0.99999707
Rnf128,-0.01257215,0.99999707
1110012L19Rik,0.003650494,0.99999707
